s.index	Longitude	Latitude	Year	Month	Day	Emergencias	TRI_MEAN	TEM_MAX_MEAN	TEM_MIN_MEAN	PRESIPI_MEAN
20	-78.614559	-1.270448	2014	11	7	1	0.006759259	21	10	2
20	-78.614559	-1.270448	2014	11	9	1	0.007916667	18	8	23
20	-78.614559	-1.270448	2014	11	10	2	0.002002315	18	10	17
20	-78.614559	-1.270448	2014	11	16	1	0.008726852	22	13	4
20	-78.614559	-1.270448	2014	11	21	1	0.006759259	21	17	0
20	-78.614559	-1.270448	2014	11	28	1	0.005231481	24	8	0
20	-78.614559	-1.270448	2014	12	4	1	0.004212963	20	15	3
20	-78.614559	-1.270448	2014	12	13	1	0.006759259	23	13	0
20	-78.614559	-1.270448	2014	12	14	1	0.0053125	24	8	0
20	-78.614559	-1.270448	2014	12	15	1	0.004791667	25	6	0
20	-78.614559	-1.270448	2014	12	19	1	0.002002315	23	10	4
20	-78.614559	-1.270448	2014	12	24	1	0.002777778	26	15	0
20	-78.614559	-1.270448	2014	12	28	1	0.002800926	13	12	7
20	-78.613733	-1.260259	2014	6	1	1	0.010243056	19	9	1
20	-78.613733	-1.260259	2014	6	14	1	0.004872685	25	9	0
20	-78.613733	-1.260259	2014	7	1	1	0.006759259	19	12	3
20	-78.613733	-1.260259	2014	7	3	1	0.006759259	25	7	0
20	-78.613733	-1.260259	2014	9	3	1	0.016828704	21	8	0
20	-78.613733	-1.260259	2014	9	24	1	0.003113426	23	10	0
20	-78.613733	-1.260259	2014	10	17	1	0.01056713	25	14	13
20	-78.613733	-1.260259	2014	10	18	1	0.003287037	23	12	8
20	-78.613733	-1.260259	2014	10	25	1	0.001550926	23	12	7
20	-78.613733	-1.260259	2014	11	30	1	0.006412037	25	12	0
20	-78.615223	-1.270791	2014	6	4	1	0.009305556	24	14	0
20	-78.615223	-1.270791	2014	8	22	1	0.004583333	24	9	0
20	-78.615223	-1.270791	2014	9	10	1	0.013472222	25	14	0
20	-78.615223	-1.270791	2014	11	21	1	0.004583333	21	17	0
20	-78.615223	-1.270791	2014	12	31	1	0.011273148	24	15	0
20	-78.617068	-1.270047	2014	6	4	1	0.012719907	24	14	0
20	-78.617068	-1.270047	2014	8	7	1	0.010231481	25	7	0
20	-78.617068	-1.270047	2014	9	21	1	0.001469907	22	11	0
20	-78.617068	-1.270047	2014	10	16	1	0.010798611	24	9	0
20	-78.617068	-1.270047	2014	11	28	1	0.012060185	24	8	0
20	-78.617068	-1.270047	2014	12	2	1	0.012384259	21	9	0
20	-78.613316	-1.261408	2014	6	5	1	0.003298611	21	12	0
20	-78.612962	-1.262419	2014	6	5	1	0.017210648	21	12	0
20	-78.614212	-1.258377	2014	6	5	1	0.018969907	21	12	0
20	-78.614212	-1.258377	2014	7	12	1	0.002453704	26	18	0
20	-78.614212	-1.258377	2014	7	14	1	0.009178241	25	18	0
20	-78.614212	-1.258377	2014	10	22	1	0.015127315	23	13	3
20	-78.614212	-1.258377	2014	12	2	1	0.001493056	21	9	0
20	-78.611999	-1.267944	2014	6	6	1	0.019166667	19	11	0
20	-78.610396	-1.268517	2014	6	6	1	0.000752315	19	11	0
